order_id        , status   , date_created                 , date_closed                  , total_amount, currency_id, buyer_id  , buyer_nickname                , buyer_email, shipping_id, shipping_status, shipping_mode, payment_total, payment_methods                            , tags                                                                         , item_id      , item_title                                                                         , item_category, quantity, unit_price, full_unit_price, sku
2000013651229174, paid     , 2025-11-03T12:50:55.000-04:00, 2025-11-03T12:50:57.000-04:00,       177.3 , BRL        ,  239568442, ALEXSANDRACIRILODEBRITO       ,            , 45794307968,                ,              ,        177.3 , account_money                              , "pack_order, order_has_discount, catalog, paid, not_delivered"               , MLB4103214871, Ducha Pure Shower Standard Acabamento Polido Cor Cromado                           , MLB269858    ,        1,     177.3 ,          197.0 , 
2000013649174394, paid     , 2025-11-03T10:45:24.000-04:00, 2025-11-03T10:45:27.000-04:00,       177.3 , BRL        ,  813740441, RIKALORRAINYRODRIGUESDECAR    ,            , 45793357306,                ,              ,        177.3 , credit_card                                , "d2c, pack_order, order_has_discount, catalog, paid, one_shot, not_delivered", MLB4103214871, Ducha Pure Shower Standard Acabamento Polido Cor Cromado                           , MLB269858    ,        1,     177.3 ,          197.0 , 
2000013648230176, paid     , 2025-11-03T09:48:14.000-04:00, 2025-11-03T09:48:16.000-04:00,       138.91, BRL        ,  157167898, CARLA22022611                 ,            , 45792657155,                ,              ,        138.91, credit_card                                , "order_has_discount, catalog, paid, not_delivered"                           , MLB5506605632, Refil Filtro Para Chuveiro Eletronic Pure Shower Cor Dourado-escuro                , MLB269858    ,        1,     138.91,          154.35, 
2000013648138380, paid     , 2025-11-03T09:42:23.000-04:00, 2025-11-03T09:42:25.000-04:00,       145.52, BRL        ,  228643441, TETH8560435                   ,            , 45792616703,                ,              ,        145.52, account_money                              , "pack_order, order_has_discount, catalog, paid, not_delivered"               , MLB5664469892, Refil De Esferas Minerais Para Ducha Pure Shower                                   , MLB269858    ,        2,      72.76,           80.85, 
2000013647889386, paid     , 2025-11-03T09:26:41.000-04:00, 2025-11-03T09:30:12.000-04:00,       204.3 , BRL        ,   95335337, BIASVIERK                     ,            , 45792791618,                ,              ,        204.3 , bank_transfer                              , "d2c, pack_order, order_has_discount, catalog, paid, one_shot, not_delivered", MLB5506789606, Ducha Pure Shower Pet Kit Completo Mangueira E Suporte Cor Prateado                , MLB269858    ,        1,     204.3 ,          227.0 , 
2000013647885718, paid     , 2025-11-03T09:27:04.000-04:00, 2025-11-03T09:27:36.000-04:00,       138.91, BRL        , 2377290351, DP20250408141826              ,            , 45792773078,                ,              ,        138.91, bank_transfer                              , "d2c, pack_order, order_has_discount, catalog, paid, one_shot, not_delivered", MLB5506605632, Refil Filtro Para Chuveiro Eletronic Pure Shower Cor Dourado-escuro                , MLB269858    ,        1,     138.91,          154.35, 
2000013647772260, paid     , 2025-11-03T09:17:26.000-04:00, 2025-11-03T09:18:31.000-04:00,       141.3 , BRL        , 1916720340, BA20240724124119              ,            , 45792710276,                ,              ,        141.3 , bank_transfer                              , "d2c, pack_order, order_has_discount, catalog, paid, one_shot, not_delivered", MLB5555832180, Ducha Pet Para Banho E Tosa Pure Shower Pet Shop Standard                          , MLB269588    ,        1,     141.3 ,          157.0 , 
2000013643669568, paid     , 2025-11-02T21:22:44.000-04:00, 2025-11-02T21:22:47.000-04:00,      1219.05, BRL        ,   62069688, DANIEL_VANZ                   ,            , 45790571361,                ,              ,       1219.05, account_money                              , "pack_order, order_has_discount, catalog, paid, not_delivered"               , MLB4146565283, Ducha Chuveiro Parade Kit Premium Pure Shower C/ Ducha Aux Cor Prateado            , MLB269858    ,        1,    1219.05,         1354.5 , 
2000013643313352, paid     , 2025-11-02T20:53:26.000-04:00, 2025-11-02T20:53:29.000-04:00,       705.91, BRL        ,   73069209, SUZI OILIVEIRA                ,            , 45790689100,                ,              ,        705.91, credit_card                                , "d2c, pack_order, order_has_discount, catalog, paid, one_shot, not_delivered", MLB5551879968, Pure Shower Chuveiro Elétrico 7500w Cor Branco                                     , MLB269874    ,        1,     705.91,          784.35, 
2000013643261408, paid     , 2025-11-02T20:49:24.000-04:00, 2025-11-02T20:49:27.000-04:00,       705.91, BRL        ,  461530075, POLLIENEMENDES                ,            , 45790410381,                ,              ,        705.91, credit_card                                , "d2c, pack_order, order_has_discount, catalog, paid, one_shot, not_delivered", MLB5551879968, Pure Shower Chuveiro Elétrico 7500w Cor Branco                                     , MLB269874    ,        1,     705.91,          784.35, 
